focus_area_id,focus_code,focus_label,is_active
1,PROCESS_DOSING,Processing Dosing Experience,true
2,RELATIONSHIP,Relationship Insights,true
3,CAREER_PURPOSE,Career & Purpose Exploration,true
4,GRIEF_LOSS,Grief & Loss Processing,true
5,TRAUMA_INTEGRATION,Trauma Integration,true
6,BEHAVIORAL_CHANGE,Behavioral Change Planning,true
7,RELAPSE_PREVENTION,Relapse Prevention,true
8,SPIRITUAL,Spiritual & Existential Themes,true
9,MILITARY_TRAUMA,Military Trauma Processing,true
10,MORAL_INJURY,Moral Injury Work,true
11,HYPERVIGILANCE_NS,Hypervigilance & Nervous System,true
12,REINTEGRATION,Reintegration Planning,true