observation_type_id,observation_code,observation_label,is_active
1,THERAPEUTIC_ALLIANCE,Strong therapeutic alliance,true
2,EMOTIONAL_OPENNESS,Increased emotional openness,true
3,RESISTANCE,Resistance to processing,true
4,SOMATIC_ACTIVATION,Somatic activation present,true
5,SPIRITUAL_TRANSPERSONAL,Spiritual/transpersonal content,true
6,CLEAR_INSIGHT,Clear insight articulated,true
7,GRIEF_PROCESSING,Grief processing active,true
8,RELATIONAL_PATTERNS,Relational patterns emerging,true
9,TRAUMA_MATERIAL,Significant trauma material surfaced,true
10,AVOIDANCE,Avoidance behavior noted,true
11,POSITIVE_BEHAVIORAL,Positive behavior rehearsal,true
12,DISSOCIATIVE,Dissociative episodes observed,true
13,HYPERAROUSAL,Hyperarousal / startle response,true
14,MORAL_INJURY,Moral injury material surfaced,true
15,COMBAT_MEMORY,Combat memory integration,true