rule_key,psychedelic_substance,medication_class,medication_ingredient,otc_rx_flag,other_substance_flag,external_code_system,external_code,mechanism,interaction_type,effect_direction,clinical_concern,worst_case_concern,risk_bucket,risk_level_numeric,severity_grade,confidence,evidence_level,washout_relevant,washout_note,screening_note,class_wide_or_drug_specific,established_vs_theoretical,review_status,citation_basis_ids,citation_text_short,citation_url_or_identifier,source_section,source_quote_short,notes_for_manual_review,Source,
AYA-SSRI-FLU,Ayahuasca,SSRIs,Fluoxetine,Rx,No,Not in source,Not in source,MAO-A inhibition combined with serotonin reuptake inhibition,TOXICITY_AMPLIFICATION,DANGER_INCREASE,Severe serotonin syndrome,Fatal serotonin toxicity,ABSOLUTE_CONTRAINDICATION,5,CONTRAINDICATED,HIGH,CONSENSUS_GUIDELINE,Yes,Requires 2-5 week washout before ayahuasca administration; minimum 5 weeks for fluoxetine.,Requires 2-5 week washout before ayahuasca administration.,Class-wide,Established,ACTIVE,4,Ayahuasca Medical Guidelines \,Safety & Medications,https://templeofthewayoflight.org/resources/ayahuasca-medical-guidelines/,Section 3. Evidence Matrix,MAO-A inhibition combined with serotonin reuptake inhibition,Not in source,1
IBO-QT-MET,Ibogaine,Opioids / Methadone,Methadone,Rx,No,Not in source,Not in source,"Additive hERG channel blockade, CYP2D6 competition",TOXICITY_AMPLIFICATION,DANGER_INCREASE,"Torsades de Pointes, fatal arrhythmia",Sudden cardiac death,ABSOLUTE_CONTRAINDICATION,5,CONTRAINDICATED,HIGH,CASE_REPORT,Yes,Not in source,Absolute contraindication; strict ECG clearance required.,Drug-specific,Established,ACTIVE,7,The Anti-Addiction Drug Ibogaine and the Heart,https://pmc.ncbi.nlm.nih.gov/articles/PMC4382526/,Section 3. Evidence Matrix,"Additive hERG channel blockade, CYP2D6 competition",Not in source,1,
PSI-LITH-LIT,Psilocybin,Mood Stabilizer,Lithium,Rx,No,Not in source,Not in source,Unknown; suspected synergistic excitatory neurotoxicity,TOXICITY_AMPLIFICATION,DANGER_INCREASE,Significant seizure risk (47% in observational data),Emergency medical intervention for seizures,ABSOLUTE_CONTRAINDICATION,5,CONTRAINDICATED,MODERATE,OBSERVATIONAL,Not in source,Not in source,Contraindicate psilocybin if active lithium use. Lamotrigine appears safe.,Drug-specific,Established,ACTIVE,9,Classic Psychedelic Coadministration with Lithium,https://pubmed.ncbi.nlm.nih.gov/34348413/,Section 3. Evidence Matrix,Significant seizure risk (47% in observational data),Observational data is undeniable regarding seizure risk.,1,
MDMA-OTC-DXM,MDMA,OTC Antitussives,Dextromethorphan (DXM),OTC,No,Not in source,Not in source,Dual 5-HT reuptake inhibition and releasing agent action,TOXICITY_AMPLIFICATION,DANGER_INCREASE,Severe serotonin syndrome,Life-threatening serotonin toxicity,ABSOLUTE_CONTRAINDICATION,5,CONTRAINDICATED,HIGH,CASE_REPORT,Not in source,Not in source,Absolute contraindication. High risk among recreational and self-medicating users.,Drug-specific,Established,ACTIVE,6,A case of serotonin syndrome following the reintroduction of aripiprazole after dextromethorphan overdose,https://pmc.ncbi.nlm.nih.gov/articles/PMC12264311/,Section 3. Evidence Matrix,Dual 5-HT reuptake inhibition and releasing agent action,Not in source,1,
DMT-MAOI-HAR,5-MeO-DMT,MAOIs,Harmaline,Rx,No,Not in source,Not in source,Inhibition of deamination metabolism of 5-MeO-DMT,PK_INTERACTION,DANGER_INCREASE,"Serotonin syndrome, prolonged systemic exposure",Fatalities and severe toxicity reported,ABSOLUTE_CONTRAINDICATION,5,CONTRAINDICATED,HIGH,CASE_REPORT,Not in source,Not in source,Fatalities and severe toxicity reported when combined with harmala alkaloids.,Class-wide,Established,ACTIVE,15,Drug–drug interactions involving classic psychedelics: A systematic review,https://pdfs.semanticscholar.org/7c98/ab951d1eeac74b8cd5b207f1af31188e1afe.pdf?skipShowableCheck=true,Section 3. Evidence Matrix,Inhibition of deamination metabolism,Not in source,1,
MDMA-SNRI-VEN,MDMA,SNRIs,Venlafaxine,Rx,No,Not in source,Not in source,"Competitive CYP2D6 inhibition, massive 5-HT release",PK_INTERACTION,DANGER_INCREASE,Serotonin toxicity; PK toxicity amplification,Cardiovascular and serotonergic overload,STRONG_CAUTION,4,MAJOR,HIGH,CLINICAL_TRIAL,Not in source,Not in source,High risk of cardiovascular and serotonergic overload.,Class-wide,Established,ACTIVE,3,Drug-drug interactions between psychiatric medications and MDMA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9177763/,Section 3. Evidence Matrix,PK toxicity amplification,Complex pharmacokinetic and pharmacodynamic overlaps.,1,
KET-CNS-BEN,Ketamine,CNS Depressants,Alprazolam,Rx,No,Not in source,Not in source,Synergistic CNS depression at GABA and opioid receptors,PD_INTERACTION,DANGER_INCREASE,"Sedation, coma, respiratory depression",Fatal respiratory arrest,STRONG_CAUTION,4,MAJOR,HIGH,FDA_LABEL,Not in source,Not in source,Avoid concomitant use or adjust dosing heavily.,Class-wide,Established,ACTIVE,11,Reference ID: 5514350 - accessdata.fda.gov,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/211243s016lbl.pdf,Section 3. Evidence Matrix,Synergistic CNS depression at GABA and opioid receptors,FDA REMS protocols mandate monitoring.,1,
KET-DIAB-INS,Ketamine,Diabetes Meds,Insulin,Rx,No,Not in source,Not in source,"Sympathetic  $\alpha$ 2 activation increasing epinephrine, altering gluconeogenesis",PHYSIOLOGICAL_SHIFT,UNCERTAIN,Glycemic volatility (hyper/hypoglycemia),Acute hyperglycemia followed by potential delayed hypoglycemia,CLINICIAN_REVIEW,3,MODERATE,LOW,PRECLINICAL,No,Not in source,"Monitor blood glucose before, during, and after infusion.",Class-wide,Theoretical,ACTIVE,13,Ketamine in Diabetes Care: Metabolic Insights and Clinical ...,https://pmc.ncbi.nlm.nih.gov/articles/PMC12845205/,Section 3. Evidence Matrix,Glycemic volatility (hyper/hypoglycemia),Requires intensive bedside blood glucose monitoring.,1,
LSD-ANTIP-QUE,LSD,Antipsychotics,Quetiapine,Rx,No,Not in source,Not in source,5-HT2A and D2 antagonism,EFFICACY_BLUNTING,EFFICACY_REDUCTION,Efficacy blunting; premature termination of trip,Over-sedation/hypotension,POSSIBLE_EFFICACY_BLUNTING,2,MODERATE,HIGH,CLINICAL_TRIAL,Not in source,Not in source,Used recreationally as 'trip killers'; risk of over-sedation/hypotension.,Class-wide,Established,ACTIVE,26,Potentially harmful 'trip-killers' to cut short 'bad' drug trips,https://bmjgroup.com/potentially-harmful-trip-killers-to-cut-short-bad-drug-trips-emerging-concern-warn-doctors/,Section 3. Evidence Matrix,Efficacy blunting; premature termination of trip,Not in source,1,
PSI-SSRI-ESC,Psilocybin,SSRIs,Escitalopram,Rx,No,Not in source,Not in source,5-HT2A receptor downregulation from chronic SSRI use,EFFICACY_BLUNTING,EFFICACY_REDUCTION,Efficacy blunting; attenuated subjective effects,Therapeutically compromised session,POSSIBLE_EFFICACY_BLUNTING,2,MODERATE,HIGH,CLINICAL_TRIAL,Not in source,Not in source,Does not cause physical danger; requires clinical decision on tapering vs. blunting.,Class-wide,Established,ACTIVE,10,Concomitant use of antidepressants and classic psychedelics: A scoping review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12572353/,Section 3. Evidence Matrix,Does not cause physical danger,Risk of serotonin syndrome is vastly overstated.,1,